Date,Open,High,Low,Close,SharesTraded,Turnover
2024-06-07,26959.2,27456.35,26933.95,27441.15,176303661,15607.95
2024-06-10,27531.8,27649.3,27430.45,27566.7,116328030,11649.68
2024-06-11,27665.9,27820.95,27593.55,27682.6,151074926,11845.02
2024-06-12,27763,27880.05,27706.05,27798.05,128034389,11073.5
2024-06-13,27967.45,27967.6,27735.45,27887.25,103651292,11273.59
2024-06-14,27944.95,28065.2,27889.9,28031.5,93113613,9963.59
2024-06-18,28149.2,28150.35,27948.3,28028.95,115019816,12199.04
2024-06-19,28097.4,28111.55,27652.95,27675.2,137016885,15743.44
2024-06-20,27703.45,27725.7,27501,27639.55,117265797,12815.07
2024-06-21,27707.95,27770.25,27462.95,27529.85,258109730,29373.48
2024-06-24,27469.5,27729.35,27359.75,27702.15,92400781,10490.45
2024-06-25,27793.4,27813.85,27642.1,27734.15,128128591,14139.11
2024-06-26,27778.65,27894.2,27647.35,27834.25,121700824,14333.96
2024-06-27,27870.25,28048.1,27777.5,27977.35,260181368,30027.02
2024-06-28,28079.55,28181.55,28000.3,28040.3,192561589,25527.78
2024-07-01,28063,28142.5,28024.1,28122.6,113523743,14286.57
2024-07-02,28208.05,28216.15,27900.75,28018.5,138416681,16533.99
2024-07-03,28131.25,28223,28035.25,28152.8,125034590,15926.31
2024-07-04,28264.1,28421.8,28220.35,28368.6,119836966,14493.59
2024-07-05,28388.5,28671.15,28374,28637.55,149770192,15979.26
2024-07-08,28668.55,28678.5,28501.65,28588.1,143695204,14417.54
2024-07-09,28707.95,28919.05,28625.1,28906.05,122687754,16146.83
2024-07-10,28993.95,29012.6,28561.8,28987.3,132050539,17219.53
2024-07-11,29072.75,29086.6,28829,28936,143121794,15674.85
2024-07-12,28977.25,29053.55,28863.45,28944.65,137373185,15699.37
2024-07-15,29032.6,29174.65,28985.6,29155.55,168043926,16146.88
2024-07-16,29210.8,29243.65,29135.55,29164.95,122789018,14109.1
2024-07-18,29126,29229.75,28897.3,29210.5,162536744,18460.24
2024-07-19,29181.95,29189.35,28678.7,28709.95,125643987,14546.64
2024-07-22,28600.45,28947.2,28547.05,28882.45,129428967,16106.42
2024-07-23,28973.75,29052.2,28309.95,29003.65,242567851,25684.75
2024-07-24,29037.35,29071.75,28859.95,28989.4,204887269,21502.73
2024-07-25,28808.25,29097.85,28774.45,29080.1,211113054,23207.37
2024-07-26,29145.4,29546.9,29106.55,29521,172672722,20040.3
2024-07-29,29666.1,29710.45,29520.6,29598.2,184576279,21392.44
2024-07-30,29635.05,29771.45,29595.1,29623.8,178843996,20610.83
2024-07-31,29687.3,29891.7,29675.15,29850.1,156572436,19059.81
2024-08-01,29942.05,29990.15,29863.8,29930.8,155611277,19152.69
2024-08-02,29653.8,29745.65,29506.2,29546.15,155572391,19391.22
2024-08-05,29028.7,29230.45,28762.85,28897.75,225589738,24306.96
2024-08-06,29042.6,29267.85,28774.2,28818.9,148768663,17067.82
2024-08-07,29195.3,29336.5,29121.45,29315.6,178673681,18096.87
2024-08-08,29308.5,29348.7,29144.2,29186.15,147869661,17748.15
2024-08-09,29453.75,29524.35,29388.75,29432.9,119885610,13276.85
2024-08-12,29369.55,29425.45,29249.65,29309.65,143300642,15322.54
2024-08-13,29394.1,29403.95,29158.6,29212.85,119955573,13359.12
2024-08-14,29265.9,29275.55,29086.8,29142.75,100353888,12351.1
2024-08-16,29314.65,29557.85,29164.5,29524.8,113647079,14482.43
2024-08-19,29659.2,29674.2,29446,29466.75,95046741,11554.62
2024-08-20,29579.2,29637.6,29519.8,29611.4,92288316,11742.44
2024-08-21,29641.5,29772.45,29574.65,29755.95,101230508,13163.88
2024-08-22,29871.5,29898.95,29774.1,29864.65,92637112,12774.89
2024-08-23,29936.4,29980.5,29853.75,29900,90438601,13104.85
2024-08-26,29947.15,30077.35,29849.6,30045.2,102747681,12160.06
2024-08-27,30108.25,30112.25,29985.4,30027.6,109166622,14079.57
2024-08-28,30095.55,30145.05,29963.5,30041.95,100594517,12651.62
2024-08-29,30030.95,30162.65,29894.3,30133.8,173490960,23791.05
2024-08-30,30244.7,30362.2,30221.35,30322.5,233956280,36013.97
2024-09-02,30424.45,30449.85,30243.35,30302.9,101544723,13645.86
2024-09-03,30363.4,30384.7,30285.1,30311.9,97736538,13180.12
2024-09-04,30121.7,30375.05,30108.4,30340.75,108803718,13712.35
2024-09-05,30392.8,30415.7,30225.45,30256,103444444,15242.84
2024-09-06,30216.3,30271.75,29849.85,29899.85,159262474,18206.35
2024-09-09,29856.05,29949.95,29673.85,29924.5,127889803,13407.28
2024-09-10,30004.55,30148.85,29952.85,30060.35,112188236,13931.56
2024-09-11,30066.95,30193.2,29894.3,29944.15,170955089,17963.13
2024-09-12,30099.05,30471.65,30021.45,30433.45,177061327,23170.26
2024-09-13,30513.8,30513.95,30374.6,30391.9,99814251,12538.95
2024-09-16,30455.95,30499.5,30387.35,30420.65,73918568,8674.25
2024-09-17,30466.65,30543.35,30390.95,30515.35,129579160,15023.17
2024-09-18,30534.5,30586.25,30231.8,30342.05,99315664,12103.84
2024-09-19,30464.4,30614.95,30277.1,30396.5,174099774,19277.19
2024-09-20,30501.55,30825.55,30406.95,30757.2,272791069,38152.86
2024-09-23,30856.85,31050.15,30848.75,31032.45,105041171,13700.12
2024-09-24,31008.8,31104.25,30987.3,31030.9,123898721,17527.43
2024-09-25,31038.35,31114.4,30880.4,31082.9,108699704,13555.43
2024-09-26,31144.45,31366.8,31085.35,31337.5,163828579,21332.24
2024-09-27,31300.9,31547.05,31207.15,31505.45,209959794,25601.58
2024-09-30,31379.2,31507,31105.4,31123.3,136247357,19022.26
2024-10-01,31141.15,31237.45,30984.1,31115,102059617,14465.97
2024-10-03,30722.4,30995.75,30483.4,30537.05,180723560,24935.44
2024-10-04,30481.55,30786.7,30193.9,30252.5,171942457,22839.69
2024-10-07,30372.7,30412.05,29789.85,29913.25,170328513,20380.79
2024-10-08,29900.85,30295.55,29840.95,30252.15,119774312,15850.13
2024-10-09,30336.15,30534.85,30265.15,30322,132468054,15910.68
2024-10-10,30427.75,30471.35,30093.45,30132.95,107069003,14680.66
2024-10-11,30184.9,30217.4,30041.15,30173.55,78870379,9649.91
2024-10-14,30229.9,30239.85,30094.85,30200.95,82293265,10774.35
2024-10-15,30306.3,30311.1,30062.9,30181.3,102284387,15160.74
2024-10-16,30128.3,30246.2,29998.5,30117.75,93556368,13630.97
2024-10-17,30161.3,30167.4,29446.75,29467.3,113628645,18763.48
2024-10-18,29485.95,29693.15,29215.4,29649.05,124453165,16007.09
2024-10-21,29663.95,29720.75,29310.95,29398.25,95221313,14460.04
2024-10-22,29421.2,29494.95,28977.9,29019.1,121217823,16706.54
2024-10-23,28981.3,29097.75,28706.45,28744.6,125307026,15661.08
2024-10-24,28802,28860.7,28571.35,28622.7,94426754,14485.84
2024-10-25,28664.4,28689.5,28257.7,28401.95,142602587,17184.16
2024-10-28,28449.75,28698.25,28271.7,28557.55,119512090,14463.63
2024-10-29,28639.35,28675.9,28233.55,28557.9,159450974,20202.63
2024-10-30,28489.4,28731.55,28364.7,28519.1,121383384,16284.25
2024-10-31,28576.45,28650.5,28423.65,28483.85,131953330,17447.14
2024-11-01,28654,28672.35,28544.95,28573.35,16988277,1711.02
2024-11-04,28620.6,28620.85,27909.2,28124.35,137342031,16729.23
2024-11-05,28078.95,28325.45,27916.65,28300.6,129419074,15709.84
2024-11-06,28363.75,28628.2,28278.05,28562.1,137387010,16547.7
2024-11-07,28631.75,28631.75,28155.65,28184.35,98061003,12211.96
2024-11-08,28208.8,28285.6,27990.15,28158.35,118996338,14512.98
2024-11-11,28147.95,28270.75,27945.95,28002,106860248,12227.03
2024-11-12,28069.95,28087.35,27522.2,27575.3,123480160,14368.46
2024-11-13,27535.65,27578.25,27218.3,27266.8,134888816,14648.74
2024-11-14,27238.75,27331.95,27054.9,27113.65,107948772,11609.56
2024-11-18,27167.7,27191.3,26918.5,27059.25,117403650,12413.9
2024-11-19,27134.1,27388.3,27029.4,27087.9,135444068,14854.59
2024-11-21,26992.75,27023.65,26701.5,26892.6,161136184,15820.61
2024-11-22,26950.85,27506.6,26897.75,27450,152075005,16997.09
2024-11-25,27782.8,27997.85,27762.15,27885.35,210821616,25641.4
2024-11-26,27956.25,27964.75,27678.65,27702.6,84205691,10093.25
2024-11-27,27750.1,27812.85,27605.15,27745.8,106958040,12899.98
2024-11-28,27770.5,27840.3,27404.2,27473.75,146368559,17350.82
2024-11-29,27467.65,27883.25,27467.65,27792.35,115748495,14165.35
2024-12-02,27821.65,27999.9,27731.5,27972.05,91071428,11032.91
2024-12-03,28043.2,28228.5,27950.6,28203.6,138049952,15705.57
2024-12-04,28251.55,28289.6,28025.85,28155,146527425,17312.96
2024-12-05,28277.4,28456.9,27966.25,28331.85,165072609,20125.84
2024-12-06,28399.2,28467.5,28329.75,28405,104557755,12439.04
2024-12-09,28404.65,28436.6,28228.95,28245.4,105383146,12633.86
2024-12-10,28286.6,28297.05,28118.5,28215.3,108236080,13541.13
2024-12-11,28276.5,28400.7,28226.75,28324.9,80141800,9926.65
2024-12-12,28345.05,28381.9,28121.6,28149.55,123746947,14029.3
2024-12-13,28103.3,28405.8,27775.65,28381.7,157022746,16744.08
2024-12-16,28407.05,28469.9,28208.2,28310.35,83154022,9347.13
2024-12-17,28253.1,28282.6,27811,27860.85,122009260,13360.86
2024-12-18,27849.6,27969.8,27717.15,27783.95,109400700,11660.83
2024-12-19,27510.1,27721.15,27499.75,27695.1,132971845,14787.13
2024-12-20,27701.95,27865.05,27211.35,27263.45,211129054,24305.35
2024-12-23,27404.35,27534.9,27225.05,27361,90522717,10033.65
2024-12-24,27378.85,27479.3,27288.85,27361.55,79246115,8581.56
2024-12-26,27410.15,27471.7,27298.2,27407.95,80459049,9380.14
2024-12-27,27466.3,27662.35,27423.95,27445.2,90564672,9514.7
2024-12-30,27450.3,27483.6,27203.45,27260.25,179207002,19157.88
