Date,Close,
1923-02-01,138.00,
1923-03-01,140.24,
1923-04-01,134.53,
1923-05-01,128.17,
1923-06-01,122.57,
1923-07-01,117.07,
1923-08-01,118.34,
1923-09-01,118.38,
1923-10-01,115.96,
1923-11-01,119.43,
1923-12-01,123.47,
1924-01-01,127.52,
1924-02-01,128.84,
1924-03-01,127.11,
1924-04-01,124.92,
1924-05-01,124.48,
1924-06-01,126.83,
1924-07-01,131.93,
1924-08-01,137.26,
1924-09-01,135.14,
1924-10-01,132.62,
1924-11-01,140.02,
1924-12-01,146.72,
1925-01-01,152.79,
1925-02-01,154.99,
1925-03-01,150.05,
1925-04-01,149.32,
1925-05-01,153.22,
1925-06-01,154.18,
1925-07-01,156.68,
1925-08-01,158.79,
1925-09-01,162.46,
1925-10-01,167.83,
1925-11-01,170.17,
1925-12-01,173.91,
1926-01-01,176.56,
1926-02-01,176.84,
1926-03-01,165.76,
1926-04-01,160.23,
1926-05-01,162.25,
1926-06-01,170.93,
1926-07-01,180.17,
1926-08-01,188.38,
1926-09-01,190.16,
1926-10-01,184.82,
1926-11-01,186.18,
1926-12-01,190.41,
1927-01-01,191.30,
1927-02-01,196.14,
1927-03-01,200.30,
1927-04-01,205.21,
1927-05-01,211.07,
1927-06-01,211.37,
1927-07-01,219.80,
1927-08-01,232.84,
1927-09-01,244.64,
1927-10-01,239.50,
1927-11-01,246.37,
1927-12-01,252.15,
1928-01-01,253.16,
1928-02-01,253.05,
1928-03-01,266.64,
1928-04-01,283.44,
1928-05-01,290.51,
1928-06-01,277.89,
1928-07-01,279.93,
1928-08-01,288.99,
1928-09-01,305.72,
1928-10-01,313.75,
1928-11-01,334.95,
1928-12-01,338.23,
1929-01-01,363.21,
1929-02-01,365.11,
1929-03-01,373.72,
1929-04-01,373.72,
1929-05-01,377.10,
1929-06-01,382.06,
1929-07-01,411.29,
1929-08-01,434.68,
1929-09-01,452.01,
1929-10-01,404.21,
1929-11-01,297.20,
1929-12-01,310.84,
1930-01-01,317.19,
1930-02-01,339.04,
1930-03-01,353.91,
1930-04-01,374.17,
1930-05-01,353.91,
1930-06-01,320.03,
1930-07-01,316.96,
1930-08-01,314.79,
1930-09-01,312.75,
1930-10-01,271.34,
1930-11-01,253.19,
1930-12-01,240.68,
1931-01-01,251.09,
1931-02-01,273.71,
1931-03-01,280.74,
1931-04-01,255.64,
1931-05-01,234.00,
1931-06-01,229.48,
1931-07-01,237.10,
1931-08-01,229.98,
1931-09-01,197.04,
1931-10-01,171.87,
1931-11-01,176.58,
1931-12-01,144.43,
1932-01-01,145.01,
