Date,Close,OPEN,High,Low
2004-12-13,1985.3,,,
2004-12-14,2006.8,,,
2004-12-15,2028.7,,,
2004-12-16,2033.2,,,
2004-12-17,2012.1,,,
2004-12-20,2026.8,,,
2004-12-21,2044.6,,,
2004-12-22,2035.3,,,
2004-12-23,2045.1,,,
2004-12-24,2062.7,,,
2004-12-27,2062.6,,,
2004-12-28,2071.3,,,
2004-12-29,2069.6,,,
2004-12-30,2059.8,,,
2004-12-31,2080.5,,,
2005-01-03,2115.0,,,
2005-01-04,2103.7,,,
2005-01-05,2032.2,,,
2005-01-06,1998.3,,,
2005-01-07,2015.5,,,
2005-01-10,1982.0,,,
2005-01-11,1952.0,,,
2005-01-12,1913.6,,,
2005-01-13,1954.5,,,
2005-01-14,1931.1,,,
2005-01-17,1932.9,,,
2005-01-18,1934.0,,,
2005-01-19,1926.6,,,
2005-01-20,1925.3,,,
2005-01-24,1909.0,,,
2005-01-25,1931.8,,,
2005-01-27,1955.0,,,
2005-01-28,2008.3,,,
2005-01-31,2057.6,,,
2005-02-01,2059.8,,,
2005-02-02,2052.2,,,
2005-02-03,2079.4,,,
2005-02-04,2077.9,,,
2005-02-07,2055.1,,,
2005-02-08,2055.1,,,
2005-02-09,2070.0,,,
2005-02-10,2063.3,,,
2005-02-11,2082.0,,,
2005-02-14,2098.2,,,
2005-02-15,2089.9,,,
2005-02-16,2068.8,,,
2005-02-17,2061.9,,,
2005-02-18,2055.5,,,
2005-02-21,2043.2,,,
2005-02-22,2058.4,,,
2005-02-23,2057.1,,,
2005-02-24,2055.3,,,
2005-02-25,2060.9,,,
2005-02-28,2103.2,,,
2005-03-01,2084.4,,,
2005-03-02,2093.2,,,
2005-03-03,2128.8,,,
2005-03-04,2148.1,,,
2005-03-07,2160.1,,,
2005-03-08,2168.9,,,
2005-03-09,2160.8,,,
2005-03-10,2167.4,,,
2005-03-11,2154.0,,,
2005-03-14,2146.3,,,
2005-03-15,2128.9,,,
2005-03-16,2125.5,,,
2005-03-17,2098.5,,,
2005-03-18,2109.1,,,
2005-03-21,2096.6,,,
2005-03-22,2061.6,,,
2005-03-23,2026.4,,,
2005-03-24,2015.4,,,
2005-03-28,2029.4,,,
2005-03-29,1983.8,,,
2005-03-30,1993.7,,,
2005-03-31,2035.6,,,
2005-04-01,2067.6,,,
2005-04-04,2063.4,,,
2005-04-05,2052.5,,,
2005-04-06,2069.3,,,
2005-04-07,2052.8,,,
2005-04-08,2031.2,,,
2005-04-11,2008.2,,,
2005-04-12,2024.9,,,
2005-04-13,2025.4,,,
2005-04-15,1956.3,,,
2005-04-18,1927.8,,,
2005-04-19,1909.4,,,
2005-04-20,1929.7,,,
2005-04-21,1948.5,,,
2005-04-22,1967.3,,,
2005-04-25,1970.9,,,
2005-04-26,1957.1,,,
2005-04-27,1935.4,,,
2005-04-28,1941.3,,,
2005-04-29,1902.5,,,
2005-05-02,1916.7,,,
2005-05-03,1920.7,,,
2005-05-04,1942.6,,,
2005-05-05,1963.3,,,
2005-05-06,1977.5,,,
2005-05-09,2000.7,,,
2005-05-10,1994.3,,,
2005-05-11,1985.9,,,
2005-05-12,1993.1,,,
2005-05-13,1988.3,,,
2005-05-16,2012.6,,,
2005-05-17,1990.8,,,
2005-05-18,1982.7,,,
2005-05-19,1990.8,,,
2005-05-20,1992.4,,,
2005-05-23,2013.9,,,
2005-05-24,2028.6,,,
2005-05-25,2043.8,,,
2005-05-26,2074.7,,,
2005-05-27,2076.4,,,
2005-05-30,2072.4,,,
2005-05-31,2087.5,,,
2005-06-01,2087.5,,,
2005-06-02,2064.6,,,
2005-06-03,2094.2,,,
2005-06-04,2092.3,,,
2005-06-06,2092.8,,,
2005-06-07,2098.1,,,
2005-06-08,2112.4,,,
2005-06-09,2103.2,,,
2005-06-10,2090.6,,,
2005-06-13,2102.7,,,
2005-06-14,2112.3,,,
2005-06-15,2128.6,,,
2005-06-16,2123.7,,,
2005-06-17,2123.4,,,
2005-06-20,2144.3,,,
2005-06-21,2170.0,,,
2005-06-22,2187.3,,,
2005-06-23,2183.8,,,
2005-06-24,2194.3,,,
2005-06-27,2199.8,,,
2005-06-28,2169.8,,,
2005-06-29,2191.6,,,
2005-06-30,2220.6,,,
2005-07-01,2211.9,,,
2005-07-04,2230.6,,,
2005-07-05,2210.7,,,
2005-07-06,2228.2,,,
2005-07-07,2179.4,,,
2005-07-08,2196.2,,,
2005-07-11,2218.8,,,
2005-07-12,2220.8,,,
2005-07-13,2204.0,,,
2005-07-14,2185.1,,,
2005-07-15,2212.5,,,
2005-07-18,2234.0,,,
2005-07-19,2237.3,,,
2005-07-20,2241.9,,,
2005-07-21,2230.5,,,
2005-07-22,2265.6,,,
2005-07-25,2291.7,,,
2005-07-26,2303.1,,,
2005-07-27,2319.1,,,
2005-07-29,2312.3,,,
2005-08-01,2318.0,,,
2005-08-02,2353.6,,,
2005-08-03,2357.0,,,
2005-08-04,2367.8,,,
2005-08-05,2361.2,,,
2005-08-08,2324.4,,,
2005-08-09,2318.7,,,
2005-08-10,2360.1,,,
2005-08-11,2380.9,,,
2005-08-12,2361.5,,,
2005-08-16,2369.8,,,
2005-08-17,2403.1,,,
2005-08-18,2388.4,,,
2005-08-19,2383.4,,,
2005-08-22,2367.8,,,
2005-08-23,2326.1,,,
2005-08-24,2322.5,,,
2005-08-25,2354.5,,,
2005-08-26,2357.0,,,
2005-08-29,2337.6,,,
2005-08-30,2367.7,,,
2005-08-31,2384.6,,,
2005-09-01,2405.7,,,
2005-09-02,2415.8,,,
2005-09-05,2422.9,,,
2005-09-06,2428.6,,,
2005-09-08,2454.4,,,
2005-09-09,2455.4,,,
2005-09-12,2484.1,,,
2005-09-13,2500.3,,,
2005-09-14,2492.4,,,
2005-09-15,2523.9,,,
2005-09-16,2552.3,,,
2005-09-19,2567.1,,,
2005-09-20,2578.0,,,
2005-09-21,2567.3,,,
2005-09-22,2476.5,,,
2005-09-23,2477.7,,,
2005-09-26,2557.3,,,
2005-09-27,2574.8,,,
2005-09-28,2598.0,,,
2005-09-29,2611.2,,,
2005-09-30,2601.4,,,
2005-10-03,2630.0,,,
2005-10-04,2663.3,,,
2005-10-05,2644.4,,,
2005-10-06,2579.1,,,
2005-10-07,2574.0,,,
2005-10-10,2566.8,,,
2005-10-11,2589.5,,,
2005-10-13,2537.3,,,
2005-10-14,2484.4,,,
2005-10-17,2485.1,,,
2005-10-18,2468.2,,,
2005-10-19,2412.4,,,
2005-10-20,2395.4,,,
2005-10-21,2443.7,,,
2005-10-24,2394.8,,,
2005-10-25,2418.2,,,
2005-10-26,2408.5,,,
2005-10-27,2352.9,,,
2005-10-28,2316.0,,,
2005-10-31,2370.9,,,
2005-11-01,2386.7,,,
2005-11-02,2419.0,,,
2005-11-07,2461.6,,,
2005-11-08,2492.6,,,
2005-11-09,2489.1,,,
2005-11-10,2500.7,,,
2005-11-11,2548.6,,,
2005-11-14,2558.7,,,
2005-11-16,2582.7,,,
2005-11-17,2603.9,,,
2005-11-18,2620.0,,,
2005-11-21,2602.5,,,
2005-11-22,2572.8,,,
2005-11-23,2608.6,,,
2005-11-24,2635.0,,,
2005-11-25,2664.3,,,
2005-11-26,2683.4,,,
2005-11-28,2712.0,,,
2005-11-29,2698.3,,,
2005-11-30,2652.2,,,
2005-12-01,2698.9,,,
2005-12-02,2697.9,,,
2005-12-05,2660.5,,,
2005-12-06,2662.3,,,
2005-12-07,2693.0,,,
2005-12-08,2706.7,,,
2005-12-09,2756.4,,,
2005-12-12,2776.2,,,
2005-12-13,2812.3,,,
2005-12-14,2804.5,,,
2005-12-15,2778.5,,,
2005-12-16,2810.1,,,
2005-12-19,2842.6,,,
2005-12-20,2826.2,,,
2005-12-21,2822.9,,,
2005-12-22,2835.2,,,
2005-12-23,2804.8,,,
2005-12-26,2749.6,,,
2005-12-27,2805.9,,,
2005-12-28,2794.0,,,
2005-12-29,2821.9,,,
2005-12-30,2836.5,,,
2006-01-02,2835.9,,,
2006-01-03,2883.3,,,
2006-01-04,2904.4,,,
2006-01-05,2899.8,,,
2006-01-06,2914.0,,,
2006-01-09,2910.1,,,
2006-01-10,2870.8,,,
2006-01-12,2850.7,,,
2006-01-13,2850.5,,,
2006-01-16,2833.1,,,
2006-01-17,2829.1,,,
2006-01-18,2809.2,,,
2006-01-19,2870.8,,,
2006-01-20,2900.9,,,
2006-01-23,2884.0,,,
2006-01-24,2908.0,,,
2006-01-25,2940.3,,,
2006-01-27,2982.7,,,
2006-01-30,2974.5,,,
2006-01-31,3001.1,,,
2006-02-01,2971.5,,,
2006-02-02,2967.4,,,
2006-02-03,2940.6,,,
2006-02-06,3000.4,,,
2006-02-07,3020.1,,,
2006-02-08,3008.9,,,
2006-02-10,3027.5,,,
2006-02-13,3041.1,,,
2006-02-14,3017.5,,,
2006-02-15,3022.2,,,
2006-02-16,3021.6,,,
2006-02-17,2981.5,,,
2006-02-20,3005.8,,,
2006-02-21,3035.5,,,
2006-02-22,3050.8,,,
2006-02-23,3062.1,,,
2006-02-24,3050.0,,,
2006-02-27,3067.4,,,
2006-02-28,3074.7,,,
2006-03-01,3123.1,,,
2006-03-02,3150.7,,,
2006-03-03,3147.3,,,
2006-03-06,3190.4,,,
2006-03-07,3182.8,,,
2006-03-08,3116.7,,,
2006-03-09,3129.1,,,
2006-03-10,3183.9,,,
2006-03-13,3202.6,,,
2006-03-14,3195.3,,,
2006-03-16,3226.6,,,
2006-03-17,3234.0,,,
2006-03-20,3265.6,,,
2006-03-21,3262.3,,,
2006-03-22,3240.1,,,
2006-03-23,3247.1,,,
2006-03-24,3279.8,,,
2006-03-27,3321.6,,,
2006-03-28,3325.0,,,
2006-03-29,3354.2,,,
2006-03-30,3418.9,,,
2006-03-31,3402.5,,,
2006-04-03,3473.3,,,
2006-04-04,3483.1,,,
2006-04-05,3510.9,,,
2006-04-07,3454.8,,,
2006-04-10,3478.4,,,
2006-04-12,3380.0,,,
2006-04-13,3345.5,,,
2006-04-17,3425.1,,,
2006-04-18,3518.1,,,
2006-04-19,3535.8,,,
2006-04-20,3573.5,,,
2006-04-21,3573.0,,,
2006-04-24,3548.9,,,
2006-04-25,3462.6,,,
2006-04-26,3555.7,,,
2006-04-27,3508.1,,,
2006-04-28,3508.3,,,
2006-04-29,3557.6,,,
2006-05-02,3605.4,,,
2006-05-03,3634.2,,,
2006-05-04,3648.4,,,
2006-05-05,3663.9,,,
2006-05-08,3693.1,,,
2006-05-09,3720.5,,,
2006-05-10,3754.2,,,
2006-05-11,3701.0,,,
2006-05-12,3650.0,,,
2006-05-15,3502.9,,,
2006-05-16,3523.3,,,
2006-05-17,3635.1,,,
2006-05-18,3388.9,,,
2006-05-19,3246.9,,,
2006-05-22,3081.3,,,
2006-05-23,3199.3,,,
2006-05-24,3115.5,,,
2006-05-25,3177.7,,,
2006-05-26,3209.6,,,
2006-05-29,3214.9,,,
2006-05-30,3185.3,,,
2006-05-31,3071.0,,,
2006-06-01,2962.2,,,
2006-06-02,3091.3,,,
2006-06-05,3016.6,,,
2006-06-06,2937.3,,,
2006-06-07,2860.4,,,
2006-06-08,2724.3,,,
2006-06-09,2866.3,,,
2006-06-12,2776.8,,,
2006-06-13,2663.3,,,
2006-06-14,2632.8,,,
2006-06-15,2798.8,,,
2006-06-16,2890.3,,,
2006-06-19,2916.9,,,
2006-06-20,2861.3,,,
2006-06-21,2923.4,,,
2006-06-22,2994.7,,,
2006-06-23,3042.7,,,
2006-06-25,3050.3,,,
2006-06-26,2943.2,,,
2006-06-27,2982.4,,,
2006-06-28,2981.1,,,
2006-06-29,2997.9,,,
2006-06-30,3128.2,,,
2006-07-03,3150.9,,,
2006-07-04,3138.6,,,
2006-07-05,3197.1,,,
2006-07-06,3156.4,,,
2006-07-07,3075.8,,,
2006-07-10,3142.0,,,
2006-07-11,3116.1,,,
2006-07-12,3195.9,,,
2006-07-13,3169.3,,,
2006-07-14,3123.3,,,
2006-07-17,3007.5,,,
2006-07-18,2993.6,,,
2006-07-19,2932.7,,,
2006-07-20,3023.0,,,
2006-07-21,2945.0,,,
2006-07-24,2985.8,,,
2006-07-25,3040.5,,,
2006-07-26,3110.1,,,
2006-07-27,3156.1,,,
2006-07-28,3130.8,,,
2006-07-31,3143.2,,,
2006-08-01,3147.8,,,
2006-08-02,3182.1,,,
2006-08-03,3190.0,,,
2006-08-04,3176.7,,,
2006-08-07,3151.1,,,
2006-08-08,3212.4,,,
2006-08-09,3254.6,,,
2006-08-10,3260.1,,,
2006-08-11,3274.3,,,
2006-08-14,3313.1,,,
2006-08-16,3356.0,,,
2006-08-17,3353.9,,,
2006-08-18,3356.7,,,
2006-08-21,3366.0,,,
2006-08-22,3364.6,,,
2006-08-23,3335.8,,,
2006-08-24,3370.4,,,
2006-08-25,3385.9,,,
2006-08-28,3401.1,,,
2006-08-29,3425.7,,,
2006-08-30,3430.3,,,
2006-08-31,3413.9,,,
2006-09-01,3435.4,,,
2006-09-04,3476.8,,,
2006-09-05,3473.7,,,
2006-09-06,3477.2,,,
2006-09-07,3454.5,,,
2006-09-08,3471.4,,,
2006-09-11,3366.1,,,
