Date,Close,Unnamed: 5,Unnamed: 6
2016-01-11,4359.63,,
2016-01-12,4344.9,,
2016-01-13,4342.75,,
2016-01-14,4315.09,,
2016-01-15,4240.74,,
2016-01-18,4119.8,,
2016-01-19,4169.66,,
2016-01-20,4088.75,,
2016-01-21,4036.17,,
2016-01-22,4126.07,,
2016-01-25,4132.23,,
2016-01-27,4144.41,,
2016-01-28,4134.06,,
2016-01-29,4208.01,,
2016-02-01,4227.3,,
2016-02-02,4147.98,,
2016-02-03,4141.59,,
2016-02-04,4128.46,,
2016-02-05,4211.39,,
2016-02-08,4184.11,,
2016-02-09,4106.47,,
2016-02-10,4046.83,,
2016-02-11,3923.64,,
2016-02-12,3911.85,,
2016-02-15,4023.58,,
2016-02-16,3924.6,,
2016-02-17,3958.71,,
2016-02-18,3993.24,,
2016-02-19,3959.03,,
2016-02-22,3970.84,,
2016-02-23,3911.95,,
2016-02-24,3856.79,,
2016-02-25,3817.02,,
2016-02-26,3839.31,,
2016-02-29,3850.7,,
2016-03-01,3993.16,,
2016-03-02,4058.95,,
2016-03-03,4076.35,,
2016-03-04,4114.48,,
2016-03-08,4110.7,,
2016-03-09,4135.18,,
2016-03-10,4128.0,,
2016-03-11,4138.44,,
2016-03-14,4153.78,,
2016-03-15,4094.77,,
2016-03-16,4087.58,,
2016-03-17,4101.73,,
2016-03-18,4109.36,,
2016-03-21,4175.0,,
2016-03-22,4178.23,,
2016-03-23,4192.1,,
2016-03-28,4124.73,,
2016-03-29,4117.26,,
2016-03-30,4193.24,,
2016-03-31,4227.66,,
2016-04-01,4216.67,,
2016-04-04,4243.22,,
2016-04-05,4198.4,,
2016-04-06,4231.7,,
2016-04-07,4222.48,,
2016-04-08,4254.3,,
2016-04-11,4297.26,,
2016-04-12,4337.38,,
2016-04-13,4369.2,,
2016-04-18,4421.54,,
2016-04-20,4380.61,,
2016-04-21,4369.4,,
2016-04-22,4371.68,,
2016-04-25,4340.48,,
2016-04-26,4377.89,,
2016-04-27,4383.57,,
2016-04-28,4346.82,,
2016-04-29,4369.26,,
2016-05-02,4397.14,,
2016-05-03,4373.68,,
2016-05-04,4329.5,,
2016-05-05,4322.43,,
2016-05-06,4342.46,,
2016-05-09,4395.67,,
2016-05-10,4391.13,,
2016-05-11,4408.83,,
2016-05-12,4434.66,,
2016-05-13,4398.88,,
2016-05-16,4412.14,,
2016-05-17,4399.04,,
2016-05-18,4397.29,,
2016-05-19,4368.27,,
2016-05-20,4320.12,,
2016-05-23,4290.09,,
2016-05-24,4263.91,,
2016-05-25,4310.21,,
2016-05-26,4351.37,,
2016-05-27,4457.84,,
2016-05-30,4442.04,,
2016-05-31,4435.73,,
2016-06-01,4448.28,,
2016-06-02,4486.06,,
2016-06-03,4497.1,,
2016-06-06,4471.66,,
